126, 15, -1, -1, -1,  131.174,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-496.039
126, 15, -1, -1, -1,  131.174,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-495.784
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-495.529
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-495.273
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-495.018
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-494.763
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-494.507
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-494.252
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-493.997
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-493.742
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-493.487
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-493.232
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-492.978
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-492.723
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-492.468
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-492.214
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-491.959
123, 15, -1, -1, -1,  121.830,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-491.705
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-491.450
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-491.196
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-490.941
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-490.687
121, 16, -1, -1, -1,  115.923,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-490.433
121, 16, -1, -1, -1,  115.923,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-490.179
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-489.925
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-489.671
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-489.417
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-489.163
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-488.910
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-488.656
126, 15, -1, -1, -1,  131.174,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-488.402
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-488.149
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-487.895
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-487.642
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-487.389
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-487.135
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-486.882
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-486.629
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-486.376
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-486.123
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-485.870
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-485.617
